Record#,PIT Tag,SRR Verbose,Event Type,Conditional Comments,Length,Weight,Text Comments,Event Date (PST),Event Site,Brood Year,Migration Year,Release Site,Release Date (PST),Organization,Hatchery,Additional Positional,Tally Count,SRR Code
5,3DD.0077571022,Wild Summer Chinook,Mark,,81,4.8,,3/5/2017 10:50,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:50,NPT,,,1,12W
6,3DD.00774FAB0E,Wild Summer Chinook,Mark,,77,4.4,,3/5/2017 10:51,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:51,NPT,,,1,12W
7,3DD.007757432B,Wild Summer Chinook,Mark,,68,3.2,,3/5/2017 10:52,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:52,NPT,,,1,12W
8,3DD.007756CEC5,Wild Summer Steelhead,Mark,,66,3,,3/5/2017 10:52,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:52,NPT,,,1,32W
9,3DD.00774E0A6F,Wild Summer Steelhead,Mark,,88,6,,3/5/2017 10:53,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:53,NPT,,,1,32W
1,3DD.007756CD7D,Wild Summer Chinook,Mark,,86,5.6,,3/7/2017 7:32,JOHTRP,2015,2017,JOHTRP,3/7/2017 7:32,NPT,,,1,12W
2,3DD.00774FCF0B,Wild Summer Chinook,Mark,,87,5.9,,3/7/2017 7:33,JOHTRP,2015,2017,JOHTRP,3/7/2017 7:33,NPT,,,1,12W
3,3DD.00774F5831,Wild Summer Steelhead,Mark,,103,9.5,,3/7/2017 7:33,JOHTRP,2015,2017,JOHTRP,3/7/2017 7:33,NPT,,,1,32W
1,..........,Wild Summer Chinook,Mark,CL,82,5,,3/9/2017 10:07,SECTRP,2015,2017,SECTRP,3/9/2017 10:07,NPT,,,1,12W
2,..........,Wild Summer Chinook,Mark,CL,90,7.3,,3/9/2017 10:09,SECTRP,2015,2017,SECTRP,3/9/2017 10:09,NPT,,,1,12W
3,..........,Wild Summer Chinook,Mark,CL,86,6.5,,3/9/2017 10:09,SECTRP,2015,2017,SECTRP,3/9/2017 10:09,NPT,,,1,12W
4,..........,Wild Summer Chinook,Mark,CL,78,4,,3/9/2017 10:10,SECTRP,2015,2017,SECTRP,3/9/2017 10:10,NPT,,,1,12W
5,..........,Wild Summer Chinook,Mark,CL,89,6.9,,3/9/2017 10:10,SECTRP,2015,2017,SECTRP,3/9/2017 10:10,NPT,,,1,12W
6,..........,Wild Summer Chinook,Mark,CL,88,5.6,,3/9/2017 10:10,SECTRP,2015,2017,SECTRP,3/9/2017 10:10,NPT,,,1,12W
7,..........,Wild Summer Chinook,Mark,CL,83,5.2,,3/9/2017 10:10,SECTRP,2015,2017,SECTRP,3/9/2017 10:10,NPT,,,1,12W
1,3DD.00774F7310,Wild Summer Chinook,Mark,,96,7.9,,3/10/2017 6:11,JOHTRP,2015,2017,JOHTRP,3/10/2017 6:11,NPT,,,1,12W
2,3DD.00774F8004,Wild Summer Chinook,Mark,,95,7.4,,3/10/2017 6:14,JOHTRP,2015,2017,JOHTRP,3/10/2017 6:14,NPT,,,1,12W
1,..........,Wild Resident Cutthroat,Tally,,141,23.1,,3/10/2017 8:33,SECTRP,2015,2017,SECTRP,3/10/2017 8:33,NPT,,,1,8RW
2,3DD.00774F8E2E,Wild Summer Chinook,Mark,,91,7.1,STARTED NEW CLIPFILE #CAZ7183,3/10/2017 8:34,SECTRP,2015,2017,SECTRP,3/10/2017 8:34,NPT,,,1,12W
3,3DD.007756FD0D,Wild Summer Chinook,Mark,,91,7.3,,3/10/2017 8:35,SECTRP,2015,2017,SECTRP,3/10/2017 8:35,NPT,,,1,12W
4,3DD.00774F11DF,Wild Summer Chinook,Mark,,81,4.8,,3/10/2017 8:35,SECTRP,2015,2017,SECTRP,3/10/2017 8:35,NPT,,,1,12W
5,3DD.007756FAF3,Wild Summer Chinook,Mark,,86,5.9,,3/10/2017 8:35,SECTRP,2015,2017,SECTRP,3/10/2017 8:35,NPT,,,1,12W
6,3DD.00774E9AC3,Wild Summer Chinook,Mark,,89,6.3,,3/10/2017 8:36,SECTRP,2015,2017,SECTRP,3/10/2017 8:36,NPT,,,1,12W
